case_id,original_text,language,script,field_type,treatment,transliteration,variants,english,normalised
KYC001,محمد علي حسن,ar,Arabic,person_name,TRANSLITERATE,Muhammad Ali Hasan,"Mohammed Ali Hassan| Muhammad Ali Hassan| Mohamed Ali Hasan| Mohammad Ali Hassaan",Muhammad Ali Hasan,MUHAMMAD ALI HASAN
KYC002,عبد الله محمد,ar,Arabic,person_name,TRANSLITERATE,Abdullah Muhammad,"Abdallah Mohammed| Abd Allah Muhammad| Abdullah Mohamed",Abdullah Muhammad,ABDULLAH MUHAMMAD
KYC003,شارع الشيخ زايد دبي,ar,Arabic,address,TRANSLATE_NORMALISE,,,"Sheikh Zayed Road, Dubai",SHEIKH ZAYED ROAD DUBAI
KYC004,أبو محمد الجولاني,ar,Arabic,alias,TRANSLITERATE,Abu Muhammad Al-Julani,"Abu Mohammad al Julani| Abu Mohammed Al Julani| Abu Muhamad Julani",Abu Muhammad Al-Julani,ABU MUHAMMAD AL JULANI
KYC005,محمد حسن علي,ar,Arabic,person_name,TRANSLITERATE,Muhammad Hasan Ali,"Mohamed Hassan Ali| Mohammed Hasan Ali| Muhammad Hassan Aly",Muhammad Hasan Ali,MUHAMMAD HASAN ALI
KYC006,山田 太郎,ja,Kanji,person_name,TRANSLITERATE,Yamada Taro,"Taro Yamada",Yamada Taro,YAMADA TARO
KYC007,タナカ ケン,ja,Katakana,person_name,TRANSLITERATE,Tanaka Ken,"Ken Tanaka",Tanaka Ken,TANAKA KEN
KYC008,株式会社トヨタ,ja,Kanji,company_name,TRANSLATE_NORMALISE,,,"Toyota Motor Corporation",TOYOTA MOTOR CORPORATION
KYC009,佐藤 健,ja,Kanji,person_name,TRANSLITERATE,Sato Ken,"Ken Sato",Sato Ken,SATO KEN
KYC010,とうきょうとしんじゅくく,ja,Hiragana,address,TRANSLATE_NORMALISE,,,"Shinjuku, Tokyo",SHINJUKU TOKYO
KYC011,Екатерина Сергеевна Иванова,ru,Cyrillic,person_name,TRANSLITERATE,Yekaterina Sergeevna Ivanova,"Ekaterina Sergeyevna Ivanova| Yekaterina Ivanova",Yekaterina Sergeevna Ivanova,YEKATERINA SERGEEVNA IVANOVA
KYC012,Алексей Смирнов,ru,Cyrillic,person_name,TRANSLITERATE,Aleksey Smirnov,"Alexey Smirnov| Aleksei Smirnov",Aleksey Smirnov,ALEKSEY SMIRNOV
KYC013,Олександр Іваненко,ru,Cyrillic,person_name,TRANSLITERATE,Oleksandr Ivanenko,"Alexander Ivanenko| Oleksander Ivanenko",Oleksandr Ivanenko,OLEKSANDR IVANENKO
KYC014,Алексей Смирнов,ru,Cyrillic,person_name,TRANSLITERATE,Aleksey Smirnov,"Alexey Smirnov| Aleksei Smirnov",Aleksey Smirnov,ALEKSEY SMIRNOV
KYC015,ул. Ленина 10 Москва,ru,Cyrillic,address,TRANSLATE_NORMALISE,,,"10 Lenin Street, Moscow",10 LENIN STREET MOSCOW
KYC016,王小明,zh,Han,person_name,TRANSLITERATE,Wang Xiaoming,"Xiaoming Wang| Wang Xiao Ming",Wang Xiaoming,WANG XIAOMING
KYC017,李伟,zh,Han,person_name,TRANSLITERATE,Li Wei,"Wei Li",Li Wei,LI WEI
KYC018,北京远景科技有限公司,zh,Han,company_name,TRANSLATE_NORMALISE,,,"Beijing Envision Technology Co Ltd",BEIJING ENVISION TECHNOLOGY CO LTD
KYC019,北京市朝阳区建国路88号,zh,Han,address,TRANSLATE_NORMALISE,,,"88 Jianguo Road, Chaoyang, Beijing",88 JIANGUO ROAD BEIJING
KYC020,王伟,zh,Han,person_name,TRANSLITERATE,Wang Wei,"Wei Wang",Wang Wei,WANG WEI
KYC021,Γεώργιος Παπαδόπουλος,el,Greek,person_name,TRANSLITERATE,Georgios Papadopoulos,"George Papadopoulos",Georgios Papadopoulos,GEORGIOS PAPADOPOULOS
KYC022,Βασίλης Νικολάου,el,Greek,person_name,TRANSLITERATE,Vasilis Nikolaou,"Vassilis Nicolaou| Basil Nikolaou",Vasilis Nikolaou,VASILIS NIKOLAOU
